Company Name,Domain,Website,LinkedIn URL,Founded Year,Revenue,Revenue (USD),Tier,SaaS Status & Reason
Doctify,doctify.com,https://www.doctify.com,https://www.linkedin.com/company/doctify,2015.0,15.8M,15800000.0,Tier 1,True
ESG Book,esgbook.com,https://www.esgbook.com,https://www.linkedin.com/company/esgbook,2018.0,49.4M,49400000.0,Tier 1,True
NavVis,navvis.com,https://www.navvis.com,https://www.linkedin.com/company/navvis,2013.0,51.5M,51500000.0,Tier 1,True
Amenitiz,amenitiz.com,https://www.amenitiz.com,https://www.linkedin.com/company/amenitiz,2018.0,16M,16000000.0,Tier 1,True
Akeneo,akeneo.com,https://www.akeneo.com,https://www.linkedin.com/company/akeneo,2013.0,53.2M,53200000.0,Tier 1,True
Hostaway,hostaway.com,https://www.hostaway.com,https://www.linkedin.com/company/hostaway,2015.0,43.3M,43300000.0,Tier 1,True
Meditopia,meditopia.com,https://www.meditopia.com,https://www.linkedin.com/company/meditopia,2015.0,54.6M,54600000.0,Tier 1,True
PlanRadar,planradar.com,https://www.planradar.com,https://www.linkedin.com/company/planradar,2013.0,32.1M,32100000.0,Tier 1,True
SimScale,simscale.com,https://www.simscale.com,https://www.linkedin.com/company/simscale,2012.0,21.6M,21600000.0,Tier 1,True
Storyblok,storyblok.com,https://www.storyblok.com,https://www.linkedin.com/company/storyblok,2017.0,80M,80000000.0,Tier 1,True
Deepki,deepki.com,https://www.deepki.com,https://www.linkedin.com/company/deepki,2014.0,28.3M,28310000.0,Tier 1,True
Quandoo | Online Restaurant Booking,quandoo.com,https://www.quandoo.com,https://www.linkedin.com/company/quandoo,2012.0,116.7M,116700000.0,Tier 1,True
Choco,choco.com,https://www.choco.com,https://www.linkedin.com/company/choco-app,2018.0,50M,50000000.0,Tier 1,True
Perkbox,perkbox.com,https://www.perkbox.com,https://www.linkedin.com/company/perkbox,2015.0,47M,47000000.0,Tier 1,True
jobvalley,jobvalley.com,https://www.jobvalley.com,https://www.linkedin.com/company/jobvalley,2008.0,129M,129000000.0,Tier 1,True
DiliTrust,dilitrust.com,https://www.dilitrust.com,https://www.linkedin.com/company/dilitrust,2005.0,22.9M,22931000.0,Tier 1,True
Locala,asklocala.com,https://www.asklocala.com,https://www.linkedin.com/company/ask-locala,2011.0,45.5M,45500000.0,Tier 1,True
Quinyx,quinyx.com,https://www.quinyx.com,https://www.linkedin.com/company/quinyx,2005.0,42.4M,42400000.0,Tier 1,True
Agicap,agicap.com,https://www.agicap.com,https://www.linkedin.com/company/agicap,2016.0,45.4M,45400000.0,Tier 1,True
Gorilla - Energy Margin Intelligence,gorilla.co,https://www.gorilla.co,https://www.linkedin.com/company/gorilladata,2018.0,10.5M,10500000.0,Tier 1,True
Signaturit Group,signaturit.com,https://www.signaturit.com,https://www.linkedin.com/company/signaturit,2013.0,27.3M,27300000.0,Tier 1,True
PlayPlay,playplay.com,https://www.playplay.com,https://www.linkedin.com/company/playplay,2017.0,48.3M,48300000.0,Tier 1,True
bsport,bsport.io,https://www.bsport.io,https://www.linkedin.com/company/bsportio,2018.0,10M,10000000.0,Tier 1,True
Ziflow,ziflow.com,https://www.ziflow.com,https://www.linkedin.com/company/ziflow,2016.0,22.5M,22500000.0,Tier 1,True
Dealfront,dealfront.com,https://www.dealfront.com,https://www.linkedin.com/company/dealfront,2011.0,41.2M,41200000.0,Tier 1,True
Holidu,holidu.com,https://www.holidu.com,https://www.linkedin.com/company/holidu,2014.0,144.7M,144700000.0,Tier 1,True
Falcon.io,falcon.io,https://www.falcon.io,https://www.linkedin.com/company/falconio,2010.0,27.5M,27500000.0,Tier 1,True
PrestaShop,prestashop.com,https://www.prestashop.com,https://www.linkedin.com/company/prestashop,2007.0,38.4M,38400000.0,Tier 1,True
DataGuard,dataguard.com,https://www.dataguard.com,https://www.linkedin.com/company/dataguard1,2018.0,24M,24000000.0,Tier 1,True
Rise Up,riseup.ai,https://www.riseup.ai,https://www.linkedin.com/company/rise-up-ai-france,2014.0,10M,10000000.0,Tier 1,True
Rydoo,rydoo.com,https://www.rydoo.com,https://www.linkedin.com/company/rydoo,2011.0,64M,64000000.0,Tier 1,True
CleverConnect,cleverconnect.com,https://www.cleverconnect.com,https://www.linkedin.com/company/cleverconnect,2010.0,20.9M,20900000.0,Tier 1,True
ABC Glofox,glofox.com,https://www.glofox.com,https://www.linkedin.com/company/abcglofox,2014.0,22M,22000000.0,Tier 1,True
