"Company Name","Domain","New Column","Website","LinkedIn URL","Founded Year","Revenue","Revenue (USD)","Tier","SaaS Status & Reason"
"Tyfone, Inc.","tyfone.com",,"http://www.tyfone.com","http://www.linkedin.com/company/tyfone","2004","78.5M",78500000,"Tier 1","false"
"Uniphore","uniphore.com",,"http://www.uniphore.com","http://www.linkedin.com/company/uniphore","2008","500M",500000000,"Tier 1","true"
"Ateko, backed by Bell Canada","ateko.com",,"http://www.ateko.com","http://www.linkedin.com/company/hello-ateko","2025","",,"Tier 1","false"
"Aprimo","aprimo.com",,"http://www.aprimo.com","http://www.linkedin.com/company/aprimomarketing","1998","35.2M",35200000,"Tier 1","true"
"Redpoint","redpoint.com",,"http://www.redpoint.com","http://www.linkedin.com/company/redpointventures","1999","15M",15000000,"Tier 1","false"
"Notable Capital","notablecap.com",,"http://www.notablecap.com","http://www.linkedin.com/company/notablecapital","2000","",,"Tier 1","false"
"Bloomreach","bloomreach.com",,"http://www.bloomreach.com","http://www.linkedin.com/company/bloomreach","2009","200M",200000000,"Tier 1","true"
"Quantcast","quantcast.com",,"http://www.quantcast.com","http://www.linkedin.com/company/quantcast","2006","52.9M",52900000,"Tier 1","true"
"Basis","basis.com",,"http://www.basis.com","http://www.linkedin.com/company/basis-technologies","1985","155.4M",155400000,"Tier 1","true"
"Capchase","capchase.com",,"http://www.capchase.com","http://www.linkedin.com/company/capchase","2020","62.5M",62500000,"Tier 1","false"
"Hirevue","hirevue.com",,"http://www.hirevue.com","http://www.linkedin.com/company/hirevue","2004","89M",89000000,"Tier 1","true"
"AuditBoard","auditboard.com",,"http://www.auditboard.com","http://www.linkedin.com/company/auditboard","2014","300M",300000000,"Tier 1","true"
"DataVisor","datavisor.com",,"http://www.datavisor.com","http://www.linkedin.com/company/datavisor","2013","37.9M",37900000,"Tier 1","true"
"BetterCloud","bettercloud.com",,"http://www.bettercloud.com","http://www.linkedin.com/company/bettercloud","2011","67M",67000000,"Tier 1","true"
"Atom","atomx.com",,"http://www.atomx.com","http://www.linkedin.com/company/atomhq","2020","14.5M",14500000,"Tier 1","false"
"Dragos, Inc.","dragos.com",,"http://www.dragos.com","http://www.linkedin.com/company/dragos-inc.","2016","154.4M",154400000,"Tier 1","false"
"Emergent","emergent.sh",,"http://www.emergent.sh","http://www.linkedin.com/company/emergentlabs",,"50M",50000000,"Tier 1","true"
"Abridge","abridge.com",,"http://www.abridge.com","http://www.linkedin.com/company/abridgehq","2018","100M",100000000,"Tier 1","true"
"Sysdig","sysdig.com",,"http://www.sysdig.com","http://www.linkedin.com/company/sysdig","2013","283M",283000000,"Tier 1","true"
"HeyGen","heygen.com",,"http://www.heygen.com","http://www.linkedin.com/company/heygen","2020","35M",35000000,"Tier 1","true"
"Appirio","",,"","http://www.linkedin.com/company/appirio","2006","",,"Tier 1",
"Nexford University","nexford.edu",,"http://www.nexford.edu","http://www.linkedin.com/school/nexforduniversity","2017","43M",43000000,"Tier 1","false"
"Vendavo","vendavo.com",,"http://www.vendavo.com","http://www.linkedin.com/company/vendavo","1998","75M",75000000,"Tier 1","true"
"Dutchie","dutchie.com",,"http://www.dutchie.com","http://www.linkedin.com/company/getdutchie","2017","45M",45000000,"Tier 1","true"
"Sapphire Ventures","sapphireventures.com",,"http://www.sapphireventures.com","http://www.linkedin.com/company/sapphirevc","2011","75M",75000000,"Tier 1","false"
"Ironclad","ironcladapp.com",,"http://www.ironcladapp.com","http://www.linkedin.com/company/ironclad-inc-","2014","150M",150000000,"Tier 1","true"
"DaVinci Commerce","jivox.com",,"http://www.jivox.com","http://www.linkedin.com/company/davincicommerce","2007","42M",42000000,"Tier 1","true"
"Juniper Square","junipersquare.com",,"http://www.junipersquare.com","http://www.linkedin.com/company/juniper-square","2014","139.8M",139800000,"Tier 1","true"
"Seesaw Learning","seesaw.com",,"http://www.seesaw.com","http://www.linkedin.com/company/seesaw-learning","2015","75M",75000000,"Tier 1","true"
"Bravado","bravado.co",,"http://www.bravado.co","http://www.linkedin.com/company/wearebravado","2017","31.6M",31600000,"Tier 1","false"
"eSentire","esentire.com",,"http://www.esentire.com","http://www.linkedin.com/company/esentire","2001","150M",150000000,"Tier 1","false"
"Benevity","benevity.com",,"http://www.benevity.com","http://www.linkedin.com/company/benevity","2008","133M",133000000,"Tier 1","true"
"User Interviews","userinterviews.com",,"http://www.userinterviews.com","http://www.linkedin.com/company/user-interviews","2016","26.5M",26500000,"Tier 1","true"
"Sauce Labs","saucelabs.com",,"http://www.saucelabs.com","http://www.linkedin.com/company/sauce-labs","2008","92.1M",92100000,"Tier 1","true"
"New Enterprise Associates (NEA)","nea.com",,"http://www.nea.com","http://www.linkedin.com/company/new-enterprise-associates","1977","400M",400000000,"Tier 1","false"
"Doxim","doxim.com",,"http://www.doxim.com","http://www.linkedin.com/company/doxim","2000","67M",67044000,"Tier 1","true"
